Comment,Designator,Footprint,LCSC
5k1,R1,Passive_0402_1005Metric,C25905
100nF,"LC1,LC10,LC100,LC101,LC102,LC103,LC104,LC105,LC106,LC107,LC108,LC109,LC11,LC110,LC111,LC112,LC113,LC114,LC115,LC116,LC117,LC118,LC119,LC12,LC120,LC121,LC122,LC123,LC124,LC125,LC126,LC127,LC13,LC14,LC15,LC16,LC17,LC18,LC19,LC2,LC20,LC21,LC22,LC23,LC24,LC25,LC26,LC27,LC28,LC29,LC3,LC30,LC31,LC32,LC33,LC34,LC35,LC36,LC37,LC38,LC39,LC4,LC40,LC41,LC42,LC43,LC44,LC45,LC46,LC47,LC48,LC49,LC5,LC50,LC51,LC52,LC53,LC54,LC55,LC56,LC57,LC58,LC59,LC6,LC60,LC61,LC62,LC63,LC64,LC65,LC66,LC67,LC68,LC69,LC7,LC70,LC71,LC72,LC73,LC74,LC75,LC76,LC77,LC78,LC79,LC8,LC80,LC81,LC82,LC83,LC84,LC85,LC86,LC87,LC88,LC89,LC9,LC90,LC91,LC92,LC93,LC94,LC95,LC96,LC97,LC98,LC99,LCE1",Passive_0402_1005Metric,C307331
WS2812C-2020,"LD1,LD10,LD100,LD101,LD102,LD103,LD104,LD105,LD106,LD107,LD108,LD109,LD11,LD110,LD111,LD112,LD113,LD114,LD115,LD116,LD117,LD118,LD119,LD12,LD120,LD121,LD122,LD123,LD124,LD125,LD126,LD127,LD13,LD14,LD15,LD16,LD17,LD18,LD19,LD2,LD20,LD21,LD22,LD23,LD24,LD25,LD26,LD27,LD28,LD29,LD3,LD30,LD31,LD32,LD33,LD34,LD35,LD36,LD37,LD38,LD39,LD4,LD40,LD41,LD42,LD43,LD44,LD45,LD46,LD47,LD48,LD49,LD5,LD50,LD51,LD52,LD53,LD54,LD55,LD56,LD57,LD58,LD59,LD6,LD60,LD61,LD62,LD63,LD64,LD65,LD66,LD67,LD68,LD69,LD7,LD70,LD71,LD72,LD73,LD74,LD75,LD76,LD77,LD78,LD79,LD8,LD80,LD81,LD82,LD83,LD84,LD85,LD86,LD87,LD88,LD89,LD9,LD90,LD91,LD92,LD93,LD94,LD95,LD96,LD97,LD98,LD99,LDE1",WS2812B_2020,C965556
