Comment,Designator,Footprint,LCSC
RESET,S1,SW_SPST_SKQG_WithoutStem,C139779
qwiic,J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C145956
100nF,"C10,C2,C3,C4,C5,C6,C7,C8,C9,CF1,CP1",Passive_0402_1005Metric,C1525
USB,J0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C167321
27.4,"RD0,RD1",Passive_0402_1005Metric,C172043
W25Q128JVS,U3,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,C190862
RP2040,U0,QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm_ThermalVias,C2040
6v 500ma,F0,Fuse_0402_1005Metric,C206938
100K,RP1,Passive_0402_1005Metric,C25741
5k1,"RC1,RC2,RF2,RR1,RX1",Passive_0402_1005Metric,C25905
USBLC6-2SC6,U2,SOT-23-6,C2827654
WS2812C,"LD1,LD10,LD11,LD12,LD13,LD14,LD15,LD16,LD17,LD18,LD19,LD2,LD20,LD21,LD22,LD23,LD24,LD25,LD26,LD27,LD28,LD29,LD3,LD30,LD31,LD32,LD33,LD34,LD35,LD36,LD37,LD38,LD39,LD4,LD40,LD41,LD42,LD43,LD44,LD45,LD46,LD47,LD48,LD49,LD5,LD50,LD51,LD52,LD53,LD54,LD55,LD56,LD57,LD58,LD59,LD6,LD60,LD61,LD62,LD63,LD64,LD7,LD8,LD9",WS2812B_2020,C2976072
100nF,"LC1,LC10,LC11,LC12,LC13,LC14,LC15,LC16,LC17,LC18,LC19,LC2,LC20,LC21,LC22,LC23,LC24,LC25,LC26,LC27,LC28,LC29,LC3,LC30,LC31,LC32,LC33,LC34,LC35,LC36,LC37,LC38,LC39,LC4,LC40,LC41,LC42,LC43,LC44,LC45,LC46,LC47,LC48,LC49,LC5,LC50,LC51,LC52,LC53,LC54,LC55,LC56,LC57,LC58,LC59,LC6,LC60,LC61,LC62,LC63,LC64,LC7,LC8,LC9",Passive_0402_1005Metric,C307331
Transducer,"TX0,TX1",Buzzer_CUI_CPT-9019S-SMT,C391035
22uf,"CP10,CP11,CP12,CP13,CP14,CP15,CP16,CP17,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9",Passive_0402_1005Metric,C415703
22.1K,RP2,Passive_0402_1005Metric,C43473
1uf,"C1,C11",Passive_0402_1005Metric,C52923
